City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
591,Point Fortin,TT,10.1833,-61.6833,72.9,84,100,5.5,overcast clouds
592,Bagdarin,RU,54.4333,113.6,70.81,42,36,9.82,scattered clouds
593,Karimganj,IN,24.8667,92.35,88.74,74,80,3.76,broken clouds
594,Mogadishu,SO,2.0371,45.3438,77.52,73,9,17.6,clear sky
595,Batak,BG,41.95,24.2167,69.55,45,0,2.68,clear sky
596,Huarmey,PE,-10.0681,-78.1522,61.43,87,52,8.05,broken clouds
597,Huilong,CN,31.8111,121.655,93.4,62,3,8.52,clear sky
598,Nebug,RU,44.1714,39.0036,79.65,68,24,2.13,few clouds
599,Sesheke,ZM,-17.4759,24.2968,62.44,43,0,4.97,clear sky
600,Shangrao,CN,28.4532,117.9686,100.76,38,4,1.83,clear sky
601,Jardim,BR,-21.4803,-56.1381,67.33,82,74,7.27,light rain
602,Araouane,ML,18.9048,-3.5265,90.61,39,49,9.4,scattered clouds
603,Lodja,CD,-3.4833,23.4333,75.43,40,3,1.14,clear sky
604,Port Hedland,AU,-20.3167,118.5667,80.65,22,1,9.22,clear sky
605,Ntungamo,UG,-0.8833,29.65,72.88,55,58,0.94,broken clouds
606,Keelung,TW,25.1283,121.7419,92.12,67,81,7.81,broken clouds
607,Trinidad,BO,-14.8333,-64.9,70.39,95,77,4.47,broken clouds
608,San Jose,US,37.3394,-121.895,69.48,75,20,5.75,few clouds
609,San Anselmo,US,37.9747,-122.5616,66.42,81,0,4.61,clear sky
610,Nalut,LY,30.3333,10.85,77.54,49,0,17.36,clear sky
611,Zihuatanejo,MX,17.6333,-101.55,80.13,84,52,0.92,broken clouds
612,Gat,IL,31.61,34.7642,88.39,100,7,4.92,clear sky
613,Port Augusta,AU,-32.5,137.7667,59.02,50,97,14.36,overcast clouds
614,Aksha,RU,50.2814,113.2867,78.1,40,39,9.75,scattered clouds
615,Takoradi,GH,4.8845,-1.7554,71.56,84,99,5.01,overcast clouds
616,Taywarah,AF,33.35,64.4167,71.83,20,0,2.48,clear sky
617,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,61,75,17.27,broken clouds
618,Pimenta Bueno,BR,-11.6725,-61.1936,76.1,63,87,2.75,overcast clouds
619,Saint Anthony,US,45.0205,-93.218,71.96,73,0,8.05,clear sky
620,Qasigiannguit,GL,68.8193,-51.1922,46.65,91,97,4.0,overcast clouds
621,Sinnamary,GF,5.3833,-52.95,76.78,80,48,8.52,scattered clouds
622,Arsk,RU,56.0915,49.8778,74.84,60,72,4.41,broken clouds
623,Can,TR,40.0333,27.0524,76.05,72,67,15.01,broken clouds
624,San Quintin,MX,30.4833,-115.95,70.12,88,18,10.69,few clouds
625,Isiolo,KE,0.3546,37.5822,68.81,65,41,7.27,scattered clouds
626,Sur,OM,22.5667,59.5289,91.26,54,48,4.34,scattered clouds
627,Sisimiut,GL,66.9395,-53.6735,44.71,91,100,7.58,moderate rain
628,Gatton,AU,-27.55,152.2833,72.54,67,51,7.11,broken clouds
629,Bowral,AU,-34.4667,150.4167,63.05,57,4,11.77,clear sky
630,Kupang,ID,-10.1667,123.5833,81.72,58,4,12.08,clear sky
631,Carauari,BR,-4.8828,-66.8958,72.61,99,99,1.66,heavy intensity rain
632,Denpasar,ID,-8.65,115.2167,83.86,70,20,10.36,few clouds
633,Zonguldak,TR,41.25,31.8333,68.85,88,53,1.16,broken clouds
634,Olavarria,AR,-36.8927,-60.3225,39.02,83,26,5.21,scattered clouds
635,Les Cayes,HT,18.2,-73.75,78.6,80,41,2.08,scattered clouds
636,Alyangula,AU,-13.8483,136.4192,79.25,77,52,9.13,broken clouds
637,Marand,IR,38.4329,45.7749,84.22,30,0,1.92,clear sky
638,Acarau,BR,-2.8856,-40.12,74.41,90,2,11.7,clear sky
639,Biltine,TD,14.5333,20.9167,77.14,67,82,3.42,broken clouds
640,Polunochnoye,RU,60.8697,60.4153,77.11,44,76,5.99,broken clouds
641,Adwa,ET,14.1646,38.8955,66.83,72,100,2.37,light rain
642,Virginia Beach,US,36.8529,-75.978,80.02,89,40,8.05,scattered clouds
643,Chapais,CA,49.7834,-74.8492,46.18,76,1,0.96,clear sky
644,Koumac,NC,-20.5667,164.2833,75.09,82,69,5.79,broken clouds
645,Manicore,BR,-5.8092,-61.3003,73.35,94,20,0.0,few clouds
646,Tahta,EG,26.7693,31.5021,88.21,35,19,14.54,few clouds
647,Anadyr,RU,64.75,177.4833,59.5,72,75,17.9,broken clouds
648,Lingao,CN,19.9103,109.6859,87.33,65,96,2.66,overcast clouds
649,Bethanien,NA,-26.502,17.1583,51.75,56,39,4.38,scattered clouds
650,Liverpool,GB,53.4106,-2.9779,56.82,80,75,6.91,broken clouds
651,Mindelo,CV,16.8901,-24.9804,76.55,78,75,8.05,broken clouds
652,Yulara,AU,-25.2406,130.9889,66.63,22,0,11.14,clear sky
653,Churapcha,RU,62.0025,132.4325,79.54,44,59,14.74,broken clouds
654,Politika,GR,38.6,23.55,83.97,58,0,8.16,clear sky
655,Abu Zabad,SD,12.35,29.25,77.83,75,29,13.0,scattered clouds
656,Chenzhou,CN,25.8,113.0333,90.52,53,77,9.46,broken clouds
